X_channel Y_channel II_channel timestamp
0.02423101 3742.71 0.0 39.524
0.02421138 3742.71 0.0 39.707
0.02420148 3742.31 0.0 39.887
0.02418644 3741.913 0.0 40.069
0.02417255 3741.76 0.0 40.25
0.02416436 3741.76 0.0 40.43
0.0241446 3741.76 0.0 40.613
0.0241368 3742.07 0.0 40.793
0.02411583 3742.23 0.0 40.975
0.0241109 3742.31 0.0 41.156
0.02408802 3742.23 0.0 41.337
0.02408184 3741.99 0.0 41.519
0.02406133 3741.837 0.0 41.701
0.02405318 3740.96 0.0 41.878
0.0240375 3740.407 0.0 42.058
0.02402408 3740.96 0.0 42.238
0.02401276 3742.153 0.0 42.418
0.02399618 3742.95 0.0 42.596
0.02398821 3743.11 0.0 42.779
0.0239672 3742.79 0.0 42.956
0.02396267 3743.03 0.0 43.135
0.02394221 3743.19 0.0 43.314
0.0239335 3743.35 0.0 43.495
0.02391529 3742.63 0.0 43.674
0.02390381 3742.23 0.0 43.859
0.02389537 3742.23 0.0 44.04
0.02387612 3742.47 0.0 44.221
0.02386444 3742.95 0.0 44.407
0.02384557 3743.19 0.0 44.588
0.02383822 3742.47 0.0 44.772
0.02381689 3741.76 0.0 44.953
0.02381111 3741.76 0.0 45.137
0.02378908 3742.15 0.0 45.321
0.02378261 3742.47 0.0 45.502
0.02376341 3742.47 0.0 45.684
0.02375305 3742.63 0.0 45.865
0.02373913 3743.11 0.0 46.044
0.02372382 3743.43 0.0 46.229
0.02371291 3743.43 0.0 46.41
0.02369421 3743.507 0.0 46.589
0.02369005 3743.35 0.0 46.769
0.0236667 3742.87 0.0 46.951
0.02366093 3742.71 0.0 47.132
0.02363843 3742.39 0.0 47.313
0.02363151 3742.23 0.0 47.495
0.0236125 3742.31 0.0 47.677
0.02360125 3743.427 0.0 47.858
0.02358725 3743.9 0.0 48.043
0.02357158 3743.9 0.0 48.229
0.02356131 3743.507 0.0 48.411
0.02354271 3742.95 0.0 48.59
0.02353574 3742.23 0.0 48.773
0.02351394 3741.68 0.0 48.956
0.02350882 3741.993 0.0 49.139
0.02348622 3742.31 0.0 49.321
0.02347893 3742.39 0.0 49.502
0.02346062 3741.993 0.0 49.686
0.02344922 3741.28 0.0 49.865
0.0234344 3740.64 0.0 50.049
0.0234194 3740.56 0.0 50.228
0.02341209 3740.327 0.0 50.411
0.02339102 3740.09 0.0 50.593
0.02338327 3740.483 0.0 50.774
0.02336106 3741.04 0.0 50.956
0.02335535 3740.563 0.0 51.136
0.02333389 3739.69 0.0 51.315
0.02332561 3739.057 0.0 51.495
0.02330838 3738.5 0.0 51.677
0.02329639 3737.94 0.0 51.858
0.02328214 3737.383 0.0 52.044
0.02326692 3735.16 0.0 52.225
0.02325816 3731.58 0.0 52.405
0.02323734 3729.28 0.0 52.585
0.02323107 3730.393 0.0 52.765
0.02320891 3732.297 0.0 52.947
0.02320327 3733.967 0.0 53.128
0.02318226 3735.08 0.0 53.308
0.02317311 3735.797 0.0 53.491
0.02315696 3736.75 0.0 53.667
0.02314308 3736.99 0.0 53.85
0.02313311 3736.51 0.0 54.035
0.02311366 3736.83 0.0 54.22
0.0231048 3737.227 0.0 54.405
0.0230834 3737.62 0.0 54.587
0.02307606 3737.86 0.0 54.768
0.02305413 3737.78 0.0 54.951
0.02304816 3737.94 0.0 55.135
0.02302715 3738.42 0.0 55.315
0.02301856 3737.94 0.0 55.497
0.02300128 3737.15 0.0 55.678
0.02298818 3736.99 0.0 55.86
0.02297401 3737.23 0.0 56.041
0.02295856 3737.463 0.0 56.224
0.02295066 3737.7 0.0 56.404
0.02292925 3737.62 0.0 56.585
0.02292386 3737.15 0.0 56.766
0.02290015 3736.35 0.0 56.949
0.02289444 3735.953 0.0 57.13
0.02287318 3736.11 0.0 57.31
0.022864 3735.873 0.0 57.492
0.02285 3735.16 0.0 57.674
0.02283431 3735.0 0.0 57.854
0.02282138 3734.443 0.0 58.038
0.02280393 3733.57 0.0 58.218
0.02279557 3732.537 0.0 58.401
0.02277434 3732.22 0.0 58.581
0.02276761 3732.38 0.0 58.762
0.02274492 3732.54 0.0 58.94
0.02273894 3733.01 0.0 59.122
0.02271936 3733.49 0.0 59.301
0.0227094 3733.57 0.0 59.481
0.02269277 3733.17 0.0 59.662
0.02267921 3732.14 0.0 59.848
0.02266624 3731.267 0.0 60.027
0.02264879 3730.23 0.0 60.207
0.02264193 3729.6 0.0 60.388
0.02262002 3728.64 0.0 60.568
0.02261423 3727.93 0.0 60.751
0.02259126 3727.29 0.0 60.931
0.02258406 3726.737 0.0 61.107
0.02256935 3725.94 0.0 61.287
0.02255461 3725.307 0.0 61.466
0.02253892 3724.99 0.0 61.646
0.02252326 3724.91 0.0 61.826
0.02251282 3725.15 0.0 62.005
0.02249325 3725.54 0.0 62.187
0.02248658 3725.383 0.0 62.368
0.02246347 3724.67 0.0 62.547
0.02245794 3724.11 0.0 62.73
0.02243523 3723.637 0.0 62.913
0.02242746 3722.443 0.0 63.094
0.02241008 3721.33 0.0 63.274
0.02239739 3721.65 0.0 63.459
0.02238432 3721.33 0.0 63.641
0.02236743 3720.06 0.0 63.823
0.02235986 3719.263 0.0 64.002
0.02233811 3718.95 0.0 64.184
0.02233058 3718.47 0.0 64.359
0.02230795 3717.833 0.0 64.539
0.02230204 3716.247 0.0 64.719
0.0222796 3714.657 0.0 64.902
0.02227134 3713.7 0.0 65.086
0.02225389 3712.99 0.0 65.265
0.02224026 3713.383 0.0 65.449
0.02222765 3714.02 0.0 65.632
0.02221004 3714.02 0.0 65.812
